kommunenummer,K1,K2,K3,K4,K5,K6,K7
5020,0.0,0.0,947.0,0.0,0.0,0.0,0.0
5021,0.0,0.0,0.0,0.0,6975.0,0.0,0.0
5022,0.0,0.0,0.0,0.0,2501.0,0.0,0.0
5023,0.0,0.0,0.0,0.0,3905.0,0.0,0.0
5024,0.0,0.0,0.0,0.0,12086.0,0.0,0.0
5025,0.0,0.0,0.0,0.0,5610.0,0.0,0.0
5026,0.0,0.0,0.0,0.0,2025.0,0.0,0.0
5027,0.0,0.0,0.0,0.0,6246.0,0.0,0.0
5028,0.0,0.0,0.0,0.0,16562.0,0.0,0.0
5029,0.0,0.0,0.0,0.0,8231.0,0.0,0.0
5030,0.0,0.0,0.0,0.0,6076.0,0.0,0.0
5031,0.0,0.0,0.0,0.0,14040.0,0.0,0.0
5032,0.0,0.0,0.0,0.0,4088.0,0.0,0.0
5033,0.0,0.0,794.0,0.0,0.0,0.0,0.0
5034,0.0,0.0,0.0,0.0,2432.0,0.0,0.0
5035,0.0,0.0,0.0,0.0,0.0,24028.0,0.0
5036,0.0,0.0,0.0,0.0,2632.0,0.0,0.0
5037,0.0,0.0,0.0,0.0,0.0,20254.0,0.0
5038,0.0,0.0,0.0,0.0,14933.0,0.0,0.0
5039,0.0,0.0,0.0,0.0,2449.0,0.0,0.0
5040,0.0,0.0,0.0,1576.0,0.0,0.0,0.0
5041,0.0,0.0,0.0,0.0,2100.0,0.0,0.0
5042,0.0,0.0,0.0,1386.0,0.0,0.0,0.0
5043,0.0,482.0,0.0,0.0,0.0,0.0,0.0
5044,0.0,0.0,871.0,0.0,0.0,0.0,0.0
5045,0.0,0.0,0.0,0.0,2374.0,0.0,0.0
5046,0.0,0.0,0.0,1254.0,0.0,0.0,0.0
5047,0.0,0.0,0.0,0.0,3879.0,0.0,0.0
5048,0.0,0.0,605.0,0.0,0.0,0.0,0.0
5049,0.0,0.0,0.0,1103.0,0.0,0.0,0.0
5050,0.0,0.0,0.0,0.0,4578.0,0.0,0.0
5051,0.0,0.0,0.0,0.0,5072.0,0.0,0.0
5052,0.0,0.0,567.0,0.0,0.0,0.0,0.0
5053,0.0,0.0,0.0,0.0,6804.0,0.0,0.0
5054,0.0,0.0,0.0,0.0,9988.0,0.0,0.0
5061,0.0,0.0,0.0,0.0,2028.0,0.0,0.0
