;kommunenummer;new_cases;Expected;RelativeRisk;PhyRate;PctPoverty;PctAct;PctOld;PctPrimary;PctUrban;PctImmigrants;SpecRate;PctSmoke;PctCramped;ColonRate;GPRate;PhyRate2;PhyRate3
114;3026;83;68,31600637;1,214942214;0,003265839;0,071;0,32;0,166361855;0,43;0,537426519;0,019;0,01073107;0;0,06;0,008149301;0,001045069;0,00015781;15,78098518
115;3027;58;71,03793739;0,816465147;0,004648241;0,077;0,22;0,123366834;0,3;0,966520101;0,106;0,011569733;0;0,1;0,004536455;0,000753769;0,00013809;13,80903596
116;3028;53;45,79091165;1,157434916;0,006918729;0,069;0,34;0,112746053;0,33;0,744396804;0,038;0,011569733;0;0,07;0,004536455;0,000877022;0,000132492;13,24921018
117;3029;157;148,6263579;1,056340222;0,002762099;0,099;0,22;0,130479164;0,26;0,988531284;0,131;0,011569733;0;0,13;0,004536455;0,000900685;0,00017168;17,16799065
118;3030;331;334,0791039;0,990783309;0,001736366;0,09;0,22;0,136758872;0,29;0,908319865;0,098;0,011569733;0;0,11;0,004536455;0,000908253;0,000242591;24,25911723
119;3031;81;94,44208196;0,857668513;0,003732577;0,079;0,25;0,125584692;0,26;0,924214505;0,059;0,011569733;0;0,09;0,004536455;0,000803213;0,000147421;14,74207893
120;3032;22;26,72847016;0,823092376;0,011519199;0,072;0,24;0,117195326;0,27;0,69966611;0,028;0,011569733;0;0,06;0,004536455;0,001168614;0,00012876;12,87599299
121;3033;140;134,2268966;1,043010034;0,003191383;0,083;0,23;0,117881719;0,31;0,883381537;0,076;0,011569733;0;0,09;0,004536455;0,001130282;0,000179144;17,91442503
122;3034;98;85,00010485;1,152939754;0,00440968;0,065;0,29;0,142159693;0,37;0,633051604;0,027;0,016758469;0;0,06;0,008359518;0,000839939;0,000207016;20,70163765
123;3035;119;94,27698122;1,262238125;0,003881106;0,07;0,29;0,139388489;0,36;0,767464975;0,039;0,011569733;0;0,07;0,004536455;0,000946611;0,000153019;15,30190471
124;3036;56;49,65516126;1,127778031;0,006470165;0,072;0,28;0,124910137;0,37;0,686915888;0,044;0,011569733;0;0,08;0,004536455;0,000898634;0,000134358;13,43581877
125;3037;16;11,68645465;1,369106413;0,025200458;0,063;0,33;0,193203513;0,42;0,327605956;0,009;0,011569733;0;0,06;0,004536455;0,0015273;0,000123162;12,31616721
126;3038;26;27,39779746;0,948981393;0,013355049;0,087;0,22;0,148208469;0,22;0,581107492;0,02;0,021182432;0,056;0,04;0,010577094;0,001140065;0,000231595;23,15945852
127;3039;5;4,462181997;1,12052803;0,077;0,063;0;0,244;0,44;0;0,025;0,021182432;0;0;0,010577094;0,002;0,000217473;21,74729642
128;3040;12;15,37221698;0,780629106;0,023222061;0,074;0,16;0,199419448;0,32;0,634542816;0,026;0,021182432;0,118;0,07;0,010577094;0,001451379;0,000225946;22,59459368
129;3041;13;20,40109609;0,637220664;0,017935258;0,088;0,31;0,183945757;0,3;0,616141732;0,05;0,021182432;0,11;0,07;0,010577094;0,001531059;0,000231595;23,15945852
130;3042;9;9,549069473;0,942500212;0,036915888;0,09;0,26;0,138317757;0,23;0,508411215;0,023;0,021182432;0,051;0;0,010577094;0,001869159;0,000223122;22,31216126
131;3043;30;21,03026375;1,426515633;0,017186505;0,077;0,25;0,185656694;0,25;0,586250796;0,021;0,021182432;0,08;0,06;0,010577094;0,001273074;0,00022877;22,8770261
132;3044;28;19,87009643;1,409152698;0,018414552;0,085;0,33;0,181675275;0,29;0,602964294;0,032;0,021182432;0,073;0,06;0,010577094;0,001571974;0,000231595;23,15945852
133;3045;16;15,72472936;1,017505589;0,022417707;0,066;0,32;0,200624291;0,39;0,120885358;0;0,021182432;0,081;0,07;0,010577094;0,001135074;0,000223122;22,31216126
134;3046;12;9,656161841;1,242729792;0,035582255;0,089;0,2;0,175600739;0,37;0,411275416;0,008;0,021182432;0,115;0,07;0,010577094;0,000924214;0,000217473;21,74729642
135;3047;53;57,74063504;0,917897768;0,006723338;0,068;0,28;0,172488408;0,37;0,694744977;0,024;0,021182432;0,123;0,06;0,010577094;0,000927357;0,000245716;24,57162063
136;3048;85;75,79908558;1,12138556;0,005298169;0,074;0,32;0,154353329;0,35;0,766468476;0,031;0,021182432;0,111;0,06;0,010577094;0,000883028;0,000254189;25,41891789
137;3049;113;105,2182515;1,073958162;0,004156064;0,098;0,21;0,14206955;0,25;0,798515691;0,073;0,021182432;0,055;0,1;0,010577094;0,000975403;0,000276784;27,67837726
