"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"134",3046,"KrÃ¸dsherad",0,1.04873524940113,0,"Krødsherad",2.35,134,134,0.223902925795058,0.0132784955444083,0.954607461453824
"135",3047,"Modum",9,6.56348238094632,1.37122330458704,"Modum",3.85,135,135,1.3231078347847,0.622442301747269,2.29204594757101
"136",3048,"Ã˜vre Eiker",10,8.74625057827626,1.14334707318331,"Øvre Eiker",4.525,136,136,1.15512907218044,0.575024626690939,1.93758149061245
"137",3049,"Lier",13,11.7359889279685,1.10770383985445,"Lier",4.625,137,137,1.12213083035546,0.612378511208022,1.78224828224762
"138",3050,"Flesberg",0,1.29191660425078,0,"Flesberg",2.325,138,138,0.209047164539214,0.01300758029191,0.870096114225083
"139",3051,"Rollag",0,0.738044199849727,0,"Rollag",2.075,139,139,0.211336600869457,0.0111744777003697,0.952701224551022
"140",3052,"Nore og Uvdal",0,1.25356787374237,0,"Nore og Uvdal",1.875,140,140,0.169520395977168,0.00970998284438464,0.730994251669807
"141",3053,"Jevnaker",0,3.15087541405271,0,"Jevnaker",3.55,141,141,0.237437566169887,0.0240345633338173,0.803998312085165
"142",3054,"Lunner",0,3.99876010707935,0,"Lunner",3.275,142,142,0.191780088383178,0.0198388543079771,0.64327827742209
"143",3401,"Kongsvinger",14,8.77177524058028,1.59602812612352,"Kongsvinger",3.9,143,143,1.5502655459066,0.85550182073484,2.44584017239347
"144",3403,"Hamar",21,15.183546326,1.38307609758071,"Hamar",5.975,144,144,1.4255443646154,0.89498286785444,2.07213070009376
"145",3405,"Lillehammer",16,13.5422014216785,1.18149180489865,"Lillehammer",4.75,145,145,1.19537712691441,0.694897578497598,1.82603201800663
"146",3407,"GjÃ¸vik",17,14.305816164058,1.18832786644574,"Gjøvik",4.775,146,146,1.20209064549516,0.711038626907214,1.81611341740654
"147",3411,"Ringsaker",20,16.2717754040233,1.2291221764931,"Ringsaker",3.8,147,147,1.21253550882257,0.745000711083983,1.78775489610331
"148",3412,"LÃ¸ten",0,3.63030863446734,0,"Løten",3.55,148,148,0.221828808423383,0.0235134936056529,0.737036070682139
"149",3413,"Stange",15,9.77234938764412,1.53494307305115,"Stange",4.275,149,149,1.51393244108409,0.857290630386455,2.35104370939781
"150",3414,"Nord-Odal",0,2.54853454510564,0,"Nord-Odal",3.075,150,150,0.223441438929116,0.0194523628926215,0.805229536471529
